symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,volume,avgVolume,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
ON,ON Semiconductor Corporation,103.59,1.2511,1.28,102.685,104.87,111.35,54.93,44737723241,94.1484,78.74135,NASDAQ,3939787,6861800,104,102.31,4.07,25.45,2023-10-30T00:00:00.000+0000,431872992,1691438400
ORLY,"O'Reilly Automotive, Inc.",931.76,0.6296,5.83,927.485,937.47,975.72,680,56724523864,932.9636,866.52625,NASDAQ,266218,455320,931.8,925.93,34.59,26.94,2023-10-24T00:00:00.000+0000,60878900,1691438400
PANW,"Palo Alto Networks, Inc.",215.24,-1.4108,-3.08,213.3,219.4499,258.88,132.22,65832231922,237.838,187.9548,NASDAQ,8581432,6239219,219.07,218.32,0.66,326.12,2023-08-18T00:00:00.000+0000,305855008,1691438400
PAYX,"Paychex, Inc.",125.07,1.6912,2.08,123.27,125.19,139.47,104.09,45093486219,115.7986,114.49315,NASDAQ,1025825,2291250,123.44,122.99,4.31,29.02,2023-09-26T12:30:00.000+0000,360545984,1691438400
PCAR,PACCAR Inc,84.64,0.882,0.74,84.34,84.97,90.05,54.64,44249792000,80.8998,72.730934,NASDAQ,1671138,2583443,84.45,83.9,6.95,12.18,2023-10-23T00:00:00.000+0000,522800000,1691438400
PDD,PDD Holdings Inc.,85.6,-2.1938,-1.92,83.94,87.59,106.38,38.8,113727299891,75.1902,77.45045,NASDAQ,7690230,9945414,87.52,87.52,3.87,22.12,2023-08-28T00:00:00.000+0000,1328589952,1691438400
PEP,"PepsiCo, Inc.",186.89,1.2405,2.29,185.16,187.21,196.88,160.98,257269030220,185.422,181.51234,NASDAQ,3323311,5050166,185.28,184.6,5.72,32.67,2023-10-10T00:00:00.000+0000,1376579968,1691438400
PYPL,"PayPal Holdings, Inc.",64.42,2.6614,1.67,62.2,64.75,103.03,58.95,71874035108,67.8262,73.97917,NASDAQ,23073761,19558229,63.02,62.75,2.32,27.77,2023-11-01T00:00:00.000+0000,1115709952,1691438400
QCOM,QUALCOMM Incorporated,119.34,-1.7778,-2.16,117.92,122.72,152.91,101.47,132944760000,119.516,119.3674,NASDAQ,6922848,9137769,122.21,121.5,9.38,12.72,2023-10-31T00:00:00.000+0000,1114000000,1691438400
REGN,"Regeneron Pharmaceuticals, Inc.",774.74,1.0829,8.3,765.28,782.27,837.55,572.22,83588248080,738.5566,752.09436,NASDAQ,432014,634106,769.69,766.44,36.84,21.03,2023-11-01T00:00:00.000+0000,107892000,1691438400
ROST,"Ross Stores, Inc.",113.46,0.7727,0.87,112.38,113.85,122.45,81.21,38650829760,108.6076,108.21015,NASDAQ,1418222,2424096,113.14,112.59,4.5,25.21,2023-08-17T00:00:00.000+0000,340656000,1691438400
SBUX,Starbucks Corporation,101.74,1.0528,1.06,100.94,101.86,115.48,81.67,116634736000,99.9502,101.43125,NASDAQ,5219887,6700966,101.42,100.68,3.08,33.03,2023-11-02T21:00:00.000+0000,1146400000,1691438400
SGEN,Seagen Inc.,193.65,0.0956,0.185,193.25,194.5999,207.17,116.08,36310149600,194.996,167.8487,NASDAQ,957583,1275522,194,193.465,-3.46,-55.97,2023-10-25T10:59:00.000+0000,187504000,1691438400
SIRI,Sirius XM Holdings Inc.,4.81,0.0874,0.0042,4.72,4.8593,7.95,3.32,18607004616,4.4494,4.87965,NASDAQ,10583751,22643003,4.82,4.8058,0.29,16.59,2023-10-30T00:00:00.000+0000,3868400128,1691438400
SNPS,"Synopsys, Inc.",444,0.5845,2.58,441.745,448.81,468.03,267,67559040000,442.0928,371.4124,NASDAQ,425556,1060969,445.37,441.42,5.98,74.25,2023-08-16T00:00:00.000+0000,152160000,1691438400
TEAM,Atlassian Corporation Plc,193.52,-2.6755,-5.32,188.76,198,300.29,113.855,49735995221,174.1231,158.46577,NASDAQ,2386494,2027998,197.52,198.84,-2.44,-79.31,2022-11-03T00:00:00.000+0000,257007003,1691438400
TMUS,"T-Mobile US, Inc.",136.65,1.523,2.05,135.01,137.175,154.38,124.92,163964975059,136.1396,142.83694,NASDAQ,3544107,6356737,135.46,134.6,3.09,44.22,2023-10-25T00:00:00.000+0000,1199890048,1691438400
TSLA,"Tesla, Inc.",251.45,-0.9493,-2.41,242.76,253.6511,314.66666,101.81,796970750861,252.64,195.7187,NASDAQ,110510258,134463551,251.45,253.86,3.08,81.64,2023-10-17T00:00:00.000+0000,3169499904,1691438400
TXN,Texas Instruments Incorporated,168.96,0.3087,0.52,166.935,169.82,188.12,145.97,153357222543,176.256,173.21335,NASDAQ,4315574,5303543,169.37,168.44,8.91,18.96,2023-10-23T00:00:00.000+0000,907654016,1691438400
VRSK,"Verisk Analytics, Inc.",233.53,1.6408,3.77,229.94,233.98,238.82,162.94,33813044098,225.5188,194.67805,NASDAQ,739909,1175500,231.15,229.76,4.86,48.05,2023-10-30T10:59:00.000+0000,144791008,1691438400
VRTX,Vertex Pharmaceuticals Incorporated,345.32,1.4215,4.84,340.68,346.43,367,276.57,88937856640,344.7436,319.2831,NASDAQ,947721,1280587,342.38,340.48,12.57,27.47,2023-10-25T00:00:00.000+0000,257552000,1691438400
WBA,"Walgreens Boots Alliance, Inc.",29.88,0.067,0.02,29.8,30.145,42.29,28.14,25794238441,30.4438,34.74615,NASDAQ,4748706,9069977,29.9,29.86,-3.85,-7.76,2023-10-11T00:00:00.000+0000,863260992,1691438400
WBD,"Warner Bros. Discovery, Inc.",14.47,3.5791,0.5,13.8437,14.5,16.34,8.82,35250512858,12.6106,12.8672,NASDAQ,27601436,21945793,14.09,13.97,-5.01,-2.89,2023-11-01T00:00:00.000+0000,2436110080,1691438400
WDAY,"Workday, Inc.",233.55,1.4905,3.43,229.3,233.73,240.18,128.72,60956553503,220.655,186.5661,NASDAQ,1373977,2127787,229.3,230.12,-1.05,-222.43,2023-08-24T00:00:00.000+0000,261000015,1691438400
XEL,Xcel Energy Inc.,59.76,-1.0432,-0.63,59.71,60.67,77.66,56.89,32889272648,63.3892,66.8074,NASDAQ,4222050,3602114,60.52,60.39,3.23,18.5,2023-10-25T12:30:00.000+0000,550355968,1691438400
ZM,"Zoom Video Communications, Inc.",68.66,-0.5792,-0.4,67.63,69.19,119.82,60.45,20429438395,68.8624,71.26768,NASDAQ,2413062,3983340,69.09,69.06,0.02,3433,2023-08-21T00:00:00.000+0000,297544981,1691438400
ZS,"Zscaler, Inc.",145.34,-0.561,-0.82,142.055,146.2763,194.21,84.93,21203799103,147.596,127.12623,NASDAQ,1808455,3015122,146,146.16,-1.79,-81.2,2023-09-06T00:00:00.000+0000,145891008,1691438400
